ACC X;ACC Y; ACC Z;GYRO X;GYRO Y;GYRO Z;
-900;-80;17064;-604;26;-252;
-944;92;17028;-614;29;-244;
-976;60;16772;-583;7;-236;
-988;160;16948;-628;19;-238;
-1084;56;17204;-612;7;-227;
-1040;36;16912;-614;37;-255;
-968;44;16848;-603;20;-249;
-968;88;17120;-600;22;-251;
-928;152;16972;-591;28;-256;
-1100;40;16916;-566;28;-212;
-984;200;17104;-625;19;-242;
-1060;132;16900;-603;37;-256;
-876;120;17024;-589;66;-265;
-972;84;16960;-608;-3;-239;
-984;176;17028;-584;12;-250;
-1012;84;16988;-616;25;-242;
-988;76;17000;-589;34;-245;
-924;44;16920;-603;52;-247;
-932;108;17016;-606;35;-226;
-1004;116;16936;-608;35;-266;
-948;148;16956;-634;14;-243;
-996;124;17192;-603;-6;-228;
-1016;152;16932;-624;26;-260;
-1128;88;16848;-601;48;-263;
-1004;56;17008;-617;-1;-248;
-988;48;16980;-609;23;-261;
-1100;48;16980;-616;31;-252;
-992;88;16948;-604;2;-258;
-1048;136;16720;-591;22;-245;
-988;140;17116;-613;6;-236;
-1028;4;16820;-583;47;-230;
-972;88;16820;-614;23;-242;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
-1044;100;17056;-593;30;-290;
